类型,信息内容,优先级
系统警报,@所有人 主数据库连接异常，交易系统已瘫痪，技术团队立即响应！,紧急
生产事故,流水线 3 号机械臂失控，请安全组 10 分钟内到现场！,紧急
安全事件,检测到财务部账号异常登录（IP:192.168.1.23），所有人员暂停资金操作！,紧急
客户危机,大客户 A 项目数据泄露，法务、公关、技术负责人速联！,紧急
高管指令,CEO 紧急通知：全员立即停止外发文件，等待安全审计！,紧急
服务器崩溃,AWS 东京区域宕机，海外订单系统不可用，运维组启动灾备！,紧急
合规风险,监管突击检查已到总部，所有部门自查聊天记录敏感词！,紧急
人身安全,办公楼 7 层电力短路冒烟，全员按消防通道撤离！,紧急
供应链断裂,越南工厂因疫情封锁，采购部立刻寻找替代供应商！,紧急
数据丢失,CRM 系统历史数据误删，暂停所有客户操作，优先恢复备份！,紧急
权限漏洞,内部文件被外部公开链接访问，IT 部全局关闭分享功能！,紧急
法律纠纷,竞品公司起诉专利侵权，法务部要求研发组保留所有设计稿！,紧急
支付故障,支付网关接口报错，线上交易金额全部挂起，财务紧急核对！,紧急
物流瘫痪,台风导致港口关闭，仓储部重新规划全国配送路线！,紧急
代码泄露,GitHub 发现内部代码库公开，所有开发者暂停提交！,紧急
高管行程,CEO 航班迫降，行政部立即联系当地医院并通知董事会！,紧急
舆情爆发,微博热搜第 3 名出现公司负面话题，公关部全体上线！,紧急
生产污染,质检发现批次 X-203 产品重金属超标，立即召回！,紧急
网络攻击,检测到 DDoS 攻击，带宽占用 98%，启动防御协议！,紧急
核心离职,CTO 提出离职，HRBP 封锁消息并启动高管挽留流程！,紧急
任务催办,@张三 合同终稿今日 18:00 前必须法务审核完成！,高
客户投诉,客户 B 投诉订单未按时发货，销售总监需 1 小时内回电！,紧急
审批超时,李四的差旅报销单已滞留 48 小时，请财务部王经理处理！,高
项目风险,项目 X 里程碑延迟 3 天，@PMO 重新排期并同步客户！,高
合规提醒,所有部门：Q3 合规培训未完成人员名单已发，限期本周五！,高
数据异常,市场部 Q4 预算表同比偏差 35%，请重新核对并说明原因！,高
高管关注,CFO 要求今日下班前汇总所有部门成本削减方案！,紧急
客户签约,客户 D 合同条款争议点清单已更新，法务 @王律师 优先处理！,高
权限申请,张三申请开通财务系统高级权限，请直属领导 @李总 审批！,高
资源冲突,设计部与市场部同时申请拍摄棚，请协调优先级！,紧急
客户需求,客户 E 要求增加 API 接口，技术评估报告需明日 10 点前提交！,高
合规催办,海外分公司数据跨境传输协议签署剩余 2 天！,高
绩效反馈,@全员 季度绩效考核截止提交倒计时 3 小时！,高
审计准备,财务部：外部审计团队明日进驻，凭证未归档人员速处理！,高
产品缺陷,用户反馈 App 支付成功但订单未生成，技术部优先排查！,紧急
客户续约,客户 F 合同到期前 7 天未确认，销售 @Lucy 今日必须跟进！,高
供应链预警,芯片库存仅够维持 2 周生产，采购部紧急会议！,紧急
法律通知,劳动仲裁案材料需今日 17:00 前提交法务部！,高
高管日程,董事长明日临时增加投资人会议，行政部调整会议室安排！,紧急
技术瓶颈,算法团队：模型训练数据不足，申请紧急采购预算！,高
客户定制,客户 G 的定制需求文档已上传，请产品部今日确认可行性！,高
安全漏洞,内部系统发现中危漏洞，开发组需 48 小时内修复！,高
舆情监控,社交媒体出现产品虚假宣传截图，品牌部立即澄清！,紧急
财务冻结,银行账户因异常交易被临时冻结，资金组优先处理！,紧急
招标截止,政府项目投标文件最终版今日 14:00 前必须用印！,紧急
客户退款,客户 H 批量订单申请退款，客服部升级至高级经理！,紧急
合规抽查,监管机构明日抽查销售合同，业务部整理近 3 个月文件！,高
研发延期,产品 V2.0 核心功能测试未通过，延期发布需同步董事会！,紧急
客户拜访,大客户 J CEO 临时到访，销售 VP 需 30 分钟内到接待厅！,紧急
权限误删,误删供应链系统访问权限，请 IT 部优先恢复！,紧急
会议通知,明日 14:00 季度复盘会，请提交部门总结 PPT 至共享盘,中
文件共享,新版员工手册已更新，请各部门负责人传达,中
流程咨询,请问差旅标准中高铁一等座是否需要 VP 审批？,中
知识库更新,新增 CRM 系统操作指南第三章，建议新人学习,中
设备申领,IT 部：显示器补货到仓，需申请者填写表单,中
培训报名,下周三 Excel 高阶培训开放报名，限额 30 人,中
行政通知,本周五下午全员大扫除，请整理工位,中
项目周报,项目 Y 进度周报已上传，请相关成员查阅,中
团建投票,秋季团建目的地调研：选项 A 草原 / 选项 B 海岛,"""无匹配标签"""
考勤提醒,9 月考勤异常人员名单已发，请确认是否补卡,中
政策解读,税务局最新个税抵扣政策解读文档已同步,"""无匹配标签"""
设备维护,打印机 3 楼东侧故障，预计明天修复,低
招聘进展,高级 Java 工程师岗位已筛选 10 份简历，请 HR 复审,高
活动邀请,行业峰会报名链接已发，感兴趣同事可自行注册,中
数据更新,市场部 Q3 行业分析数据集已更新至 Tableau,中
福利通知,年度体检预约系统开放，截止日期 10 月 30 日,中
流程优化,财务报销新增电子发票自动验真功能说明,中
项目邀约,内容团队招募短视频拍摄志愿者，有意者私信,中
行政采购,办公用品补货清单已确认，下周一到货,低
技术分享,本周五 15:00 技术部内部分享《微服务架构实践》,中
客户调研,产品满意度问卷已发布，请销售团队协助转发,中
政策调整,加班打车报销时间从 22:00 调整为 21:30,中
会议纪要,今日项目评审会纪要已整理，请核对补充,中
系统升级,OA 系统将于本周六凌晨 2:00-4:00 停机维护,中
文化宣传,企业文化案例征集，优秀投稿者奖励图书卡,中
设备归还,离职员工设备回收清单已发，请行政部核对,中
考试通知,信息安全认证考试模拟题已上传学习平台,中
流程测试,新采购审批流程测试环境已部署，欢迎反馈问题,中
节日安排,中秋节礼盒发放时间调整为 9 月 28 日下午,中
数据核对,请各部门确认 8 月考勤数据与 HR 系统一致性,中
闲聊,中午有人一起点奶茶吗？满 5 人起送～,低
祝福,祝王姐生日快乐！🎂,低
兴趣话题,有人看过《奥本海默》吗？求剧透！,低
拼车,明早 7:30 中关村到亦庄，求搭车,中
二手转让,转让 9 成新人体工学椅，原价 2000 现 800 出,低
宠物照看,出差三天，求帮忙照看布偶猫，猫粮已备好,低
运动约球,今晚 8 点羽毛球馆缺 1 人，有兴趣的来！,低
美食分享,楼下新开的重庆小面绝了，强烈推荐！,低
育儿交流,求推荐海淀区靠谱的国际幼儿园,低
段子,程序员冷笑话：为什么程序员总分不清万圣节和圣诞节？因为 Oct31=Dec25,低
天气预报,明天大降温，各位注意加衣哦～,低
失物招领,捡到工牌一张，姓名张三，前台领取,中
养生话题,分享护眼小技巧：每工作 1 小时看 6 米外景物 20 秒,低
拼单,山姆会员卡续费差 1 人，年费均摊,低
游戏组队,王者荣耀五排缺辅助，铂金以上速来,低
读书推荐,《金字塔原理》电子版已上传读书会群,低
健身打卡,本月健身打卡满 15 天的伙伴可领运动手环,中
旅游攻略,国庆成都自由行攻略 Excel 表分享（含预算）,无匹配标签
音乐分享,今日推荐歌单：适合写代码的电子纯音乐,低
搞笑视频,这个 AI 配音的猫和老鼠太魔性了！链接→xxx,低
